customer_id,transaction_date,amount
1,2023-02-11,40.0
1,2023-03-16,40.0
1,2023-04-13,40.0
1,2023-05-14,40.0
1,2023-06-09,40.0
1,2023-07-08,40.0
1,2023-08-09,40.0
1,2023-09-10,40.0
1,2023-10-10,40.0
1,2023-11-04,40.0
1,2023-12-06,40.0
2,2021-09-09,10.0
2,2021-10-07,10.0
2,2021-11-09,10.0
2,2021-12-14,10.0
2,2022-01-07,10.0
2,2022-02-04,10.0
2,2022-03-09,10.0
2,2022-04-05,10.0
2,2022-05-09,10.0
2,2022-06-06,10.0
2,2022-07-12,10.0
2,2022-08-11,10.0
2,2022-09-08,10.0
2,2022-10-02,10.0
2,2022-11-09,10.0
2,2022-11-30,10.0
2,2023-01-03,10.0
2,2023-02-03,10.0
2,2023-03-07,10.0
2,2023-04-01,10.0
2,2023-05-04,10.0
2,2023-06-06,10.0
2,2023-07-06,10.0
2,2023-08-05,10.0
2,2023-08-27,10.0
2,2023-10-05,10.0
2,2023-11-04,10.0
2,2023-12-04,10.0
3,2023-05-16,10.0
3,2023-06-15,10.0
3,2023-07-13,10.0
3,2023-08-15,10.0
3,2023-09-18,10.0
3,2023-10-18,10.0
3,2023-11-19,10.0
4,2021-12-18,10.0
4,2022-01-14,10.0
4,2022-02-15,10.0
4,2022-03-17,10.0
4,2022-04-21,10.0
4,2022-05-19,10.0
4,2022-06-19,10.0
4,2022-07-11,10.0
4,2022-08-11,10.0
4,2022-09-09,10.0
4,2022-10-12,10.0
4,2022-11-10,10.0
4,2022-12-11,10.0
4,2023-01-12,10.0
4,2023-02-13,10.0
4,2023-03-13,10.0
4,2023-04-11,10.0
4,2023-05-13,10.0
4,2023-06-13,10.0
4,2023-07-14,10.0
4,2023-08-11,10.0
4,2023-09-06,10.0
4,2023-10-09,10.0
5,2021-08-18,20.0
5,2021-09-15,20.0
5,2021-10-20,20.0
5,2021-11-10,20.0
5,2021-12-14,20.0
5,2022-01-10,20.0
5,2022-02-13,20.0
5,2022-03-11,20.0
5,2022-04-09,20.0
5,2022-05-12,20.0
5,2022-06-13,20.0
5,2022-07-08,20.0
5,2022-08-16,20.0
5,2022-09-06,20.0
5,2022-10-12,20.0
5,2022-11-05,20.0
5,2022-12-05,20.0
5,2023-01-07,20.0
5,2023-02-09,20.0
5,2023-03-07,20.0
5,2023-04-04,20.0
5,2023-05-12,20.0
5,2023-06-10,20.0
5,2023-07-03,20.0
5,2023-08-02,20.0
5,2023-09-05,20.0
5,2023-10-04,20.0
5,2023-11-01,20.0
5,2023-12-01,20.0
6,2023-05-24,10.0
6,2023-06-23,10.0
6,2023-07-30,10.0
6,2023-08-24,10.0
6,2023-09-29,10.0
6,2023-10-23,10.0
7,2022-12-05,40.0
7,2023-01-12,40.0
7,2023-02-06,40.0
7,2023-03-11,40.0
7,2023-04-06,40.0
7,2023-05-06,40.0
7,2023-06-09,40.0
7,2023-07-12,40.0
7,2023-08-05,40.0
7,2023-09-06,40.0
7,2023-10-06,40.0
7,2023-11-01,40.0
8,2023-01-14,10.0
8,2023-02-16,10.0
8,2023-03-20,10.0
8,2023-04-20,10.0
8,2023-05-14,10.0
8,2023-06-17,10.0
8,2023-07-11,10.0
8,2023-08-09,10.0
8,2023-09-08,10.0
9,2023-12-20,20.0
10,2022-03-08,20.0
10,2022-04-06,20.0
10,2022-05-12,20.0
10,2022-06-08,20.0
10,2022-07-12,20.0
10,2022-08-08,20.0
10,2022-09-05,20.0
10,2022-10-08,20.0
10,2022-11-08,20.0
10,2022-11-30,20.0
10,2023-01-05,20.0
10,2023-02-03,20.0
10,2023-03-09,20.0
10,2023-03-30,20.0
10,2023-05-06,20.0
10,2023-06-06,20.0
10,2023-06-30,20.0
10,2023-08-03,20.0
10,2023-08-31,20.0
10,2023-09-30,20.0
10,2023-11-03,20.0
11,2023-07-14,10.0
11,2023-08-09,10.0
11,2023-09-11,10.0
11,2023-10-14,10.0
12,2022-01-09,20.0
12,2022-02-05,20.0
12,2022-03-02,20.0
12,2022-04-01,20.0
12,2022-05-03,20.0
12,2022-06-08,20.0
12,2022-07-02,20.0
12,2022-07-30,20.0
12,2022-09-03,20.0
12,2022-09-30,20.0
12,2022-10-31,20.0
12,2022-12-01,20.0
12,2023-01-03,20.0
12,2023-01-25,20.0
12,2023-02-28,20.0
12,2023-03-27,20.0
12,2023-05-04,20.0
12,2023-06-01,20.0
12,2023-07-02,20.0
12,2023-07-27,20.0
12,2023-08-28,20.0
12,2023-09-27,20.0
12,2023-10-30,20.0
13,2022-09-21,40.0
13,2022-10-19,40.0
13,2022-11-18,40.0
13,2022-12-15,40.0
