customer_id,event_date,event_type
1,2023-11-06,login
1,2023-09-23,login
1,2023-11-16,login
1,2023-03-16,login
1,2023-12-09,login
1,2023-12-29,login
1,2023-05-14,login
1,2023-12-08,login
1,2023-11-06,login
1,2023-11-13,login
1,2023-06-14,login
1,2023-04-19,login
1,2023-12-02,login
1,2023-12-01,login
1,2023-04-16,login
1,2023-02-23,login
1,2023-05-22,login
1,2023-08-30,login
1,2023-07-07,login
2,2023-03-08,login
2,2021-11-03,login
2,2022-05-04,login
2,2023-01-11,login
2,2023-07-21,login
2,2022-04-03,login
2,2023-04-17,login
2,2023-04-08,login
2,2022-08-02,login
2,2022-09-10,login
2,2021-11-17,login
2,2023-07-24,login
2,2023-07-18,login
2,2021-11-22,login
2,2022-12-04,login
2,2022-07-17,login
2,2023-09-08,login
2,2022-12-15,login
2,2022-10-02,login
2,2023-06-20,login
2,2021-11-04,login
2,2023-02-16,login
2,2022-11-11,login
2,2022-01-23,login
2,2022-01-23,login
2,2023-12-20,login
2,2022-01-10,login
2,2023-09-18,login
2,2022-04-17,login
2,2023-07-20,login
2,2021-11-12,login
2,2022-10-16,login
2,2022-03-09,login
2,2021-11-24,login
2,2021-12-18,login
2,2022-05-11,login
2,2023-09-01,login
2,2022-10-01,login
2,2023-11-19,login
2,2023-02-15,login
2,2023-10-10,login
2,2023-06-11,login
2,2023-10-01,login
2,2023-05-28,login
2,2023-12-08,login
2,2023-12-02,login
2,2022-05-10,login
2,2022-04-26,login
2,2022-01-26,login
2,2023-09-08,login
2,2023-01-11,login
2,2021-10-02,login
2,2023-10-26,login
2,2023-12-19,login
2,2022-09-26,login
3,2023-10-05,login
3,2023-09-12,login
3,2023-06-09,login
3,2023-07-31,login
3,2023-09-21,login
3,2023-06-22,login
3,2023-11-02,login
3,2023-10-23,login
3,2023-08-19,login
3,2023-12-01,login
3,2023-10-05,login
3,2023-10-24,login
3,2023-05-31,login
4,2022-02-04,login
4,2022-12-31,login
4,2023-08-28,login
4,2022-12-30,login
4,2022-03-30,login
4,2023-03-12,login
4,2023-10-23,login
4,2022-05-29,login
4,2022-12-02,login
4,2023-07-12,login
4,2022-02-23,login
4,2022-06-15,login
4,2023-06-25,login
4,2023-11-14,login
4,2023-05-10,login
4,2023-11-04,login
4,2022-08-23,login
4,2022-04-11,login
4,2022-07-13,login
4,2023-02-10,login
4,2022-09-26,login
4,2022-12-29,login
4,2023-11-04,login
4,2023-11-22,login
4,2022-06-11,login
4,2023-07-30,login
4,2022-07-01,login
4,2022-07-24,login
4,2023-04-07,login
4,2022-10-17,login
4,2023-02-01,login
4,2023-01-29,login
4,2023-05-05,login
4,2022-09-21,login
4,2023-05-16,login
4,2023-09-03,login
4,2023-01-14,login
4,2022-06-12,login
4,2022-08-06,login
4,2022-10-08,login
4,2022-11-24,login
4,2022-05-01,login
4,2023-06-21,login
4,2023-04-01,login
4,2022-09-28,login
4,2022-03-28,login
4,2023-01-03,login
4,2022-04-11,login
4,2023-01-31,login
4,2022-08-02,login
4,2023-08-01,login
4,2022-11-09,login
4,2022-06-24,login
4,2023-06-28,login
5,2022-11-10,login
5,2021-11-11,login
5,2023-03-21,login
5,2023-07-27,login
5,2022-03-05,login
5,2023-09-27,login
5,2023-04-26,login
5,2022-12-30,login
5,2022-06-11,login
5,2021-08-28,login
5,2021-12-14,login
5,2021-10-05,login
5,2022-08-28,login
5,2022-04-26,login
5,2021-10-13,login
5,2022-05-22,login
5,2023-03-22,login
5,2022-10-27,login
5,2023-08-31,login
5,2021-09-16,login
5,2023-05-19,login
5,2023-06-07,login
5,2022-03-29,login
5,2021-09-22,login
5,2022-06-21,login
5,2021-12-25,login
5,2022-11-01,login
5,2023-07-24,login
5,2021-12-24,login
5,2021-09-28,login
5,2023-05-10,login
5,2021-09-12,login
5,2022-05-14,login
5,2021-10-11,login
5,2021-09-17,login
5,2023-05-12,login
5,2023-02-25,login
5,2022-07-08,login
5,2023-10-31,login
5,2022-06-15,login
5,2022-01-16,login
5,2023-02-19,login
5,2022-11-22,login
5,2022-07-27,login
5,2022-05-05,login
5,2023-07-31,login
5,2022-09-18,login
5,2022-11-17,login
5,2022-08-03,login
5,2022-12-26,login
5,2023-05-31,login
5,2022-04-11,login
5,2023-05-16,login
5,2023-08-14,login
5,2022-08-14,login
5,2023-10-19,login
5,2021-09-15,login
5,2023-11-07,login
5,2022-09-17,login
5,2023-10-11,login
5,2022-12-28,login
5,2022-12-08,login
5,2022-07-05,login
5,2021-11-05,login
5,2022-11-12,login
5,2021-09-18,login
5,2023-03-27,login
5,2022-11-08,login
5,2023-08-24,login
5,2022-02-09,login
5,2022-07-19,login
5,2023-02-12,login
6,2023-06-03,login
6,2023-11-14,login
6,2023-10-13,login
6,2023-08-07,login
6,2023-07-08,login
6,2023-08-06,login
6,2023-06-30,login
6,2023-09-28,login
6,2023-08-30,login
6,2023-06-14,login
6,2023-08-26,login
6,2023-07-02,login
7,2023-03-18,login
7,2023-03-31,login
7,2023-12-27,login
7,2023-04-07,login
7,2023-01-17,login
7,2023-09-20,login
7,2023-03-22,login
7,2023-10-03,login
7,2023-11-01,login
7,2023-09-29,login
7,2023-09-21,login
7,2023-06-09,login
7,2023-09-13,login
7,2023-07-10,login
7,2023-02-15,login
7,2023-11-11,login
7,2022-12-22,login
7,2023-01-23,login
7,2023-11-01,login
7,2023-05-07,login
7,2023-10-24,login
7,2022-12-05,login
8,2023-09-08,login
8,2023-02-08,login
8,2023-05-05,login
8,2023-01-22,login
8,2023-11-12,login
8,2023-10-29,login
8,2023-02-03,login
8,2023-06-14,login
8,2023-09-16,login
8,2023-02-19,login
8,2023-06-09,login
8,2023-10-31,login
8,2023-03-03,login
8,2023-09-09,login
8,2023-11-21,login
8,2023-10-20,login
8,2023-04-14,login
8,2023-10-03,login
9,2024-01-04,login
9,2024-01-10,login
10,2023-02-28,login
10,2023-06-03,login
10,2023-02-23,login
10,2023-09-16,login
10,2022-11-23,login
10,2023-02-22,login
10,2023-02-19,login
10,2023-05-19,login
10,2023-08-04,login
10,2023-01-09,login
10,2023-03-26,login
10,2023-02-03,login
10,2022-04-19,login
10,2022-09-01,login
10,2023-02-07,login
10,2023-01-07,login
10,2022-08-01,login
10,2023-06-16,login
10,2023-08-27,login
10,2023-07-26,login
10,2023-02-05,login
10,2022-05-13,login
10,2023-11-06,login
10,2022-09-06,login
10,2022-03-16,login
10,2022-09-15,login
10,2022-09-11,login
10,2022-12-09,login
10,2023-12-17,login
10,2022-12-16,login
10,2023-05-07,login
10,2022-09-21,login
10,2022-09-11,login
10,2023-10-17,login
10,2022-12-19,login
10,2022-07-28,login
10,2022-06-22,login
10,2023-06-04,login
10,2023-07-26,login
10,2023-04-01,login
10,2022-11-22,login
10,2023-07-11,login
11,2023-07-14,login
11,2023-10-31,login
11,2023-08-30,login
11,2023-08-04,login
11,2023-10-27,login
11,2023-08-29,login
11,2023-08-08,login
11,2023-11-15,login
11,2023-09-17,login
11,2023-08-05,login
12,2022-06-25,login
12,2022-10-02,login
12,2023-11-05,login
12,2023-02-22,login
12,2022-11-14,login
12,2022-09-07,login
12,2023-10-21,login
12,2023-01-31,login
12,2023-11-24,login
12,2023-11-04,login
12,2022-11-29,login
12,2022-04-03,login
12,2023-04-26,login
12,2022-10-04,login
12,2022-10-14,login
12,2022-02-26,login
12,2022-12-15,login
12,2023-02-10,login
12,2022-02-05,login
12,2022-04-14,login
12,2022-03-29,login
12,2023-10-28,login
12,2022-10-31,login
12,2023-12-09,login
12,2023-03-22,login
12,2023-10-26,login
12,2022-10-17,login
12,2023-01-02,login
12,2022-10-20,login
12,2022-06-06,login
12,2022-05-10,login
12,2023-05-07,login
12,2023-02-01,login
12,2022-01-03,login
12,2023-01-06,login
12,2023-11-04,login
12,2023-09-22,login
12,2023-09-27,login
12,2023-09-29,login
12,2022-07-28,login
12,2023-06-16,login
12,2022-06-28,login
12,2023-06-12,login
12,2023-12-21,login
13,2023-07-24,login
13,2023-07-09,login
13,2023-06-04,login
13,2023-09-24,login
13,2022-11-07,login
13,2023-07-19,login
13,2023-07-08,login
13,2022-10-18,login
13,2023-09-20,login
13,2022-11-25,login
13,2023-04-14,login
13,2022-10-22,login
13,2023-10-18,login
13,2023-07-21,login
13,2023-08-15,login
13,2023-05-05,login
13,2023-01-06,login
13,2022-10-19,login
13,2023-08-26,login
13,2022-11-16,login
13,2023-10-09,login
13,2023-12-08,login
13,2023-06-18,login
13,2022-10-27,login
