customer_id,churn_prob,cltv_pred,top_shap_feature
1,0.07,222.0,tenure_days
2,0.825,91.15,tenure_days
3,0.475,51.1,tenure_days
4,0.09,63.45,tenure_days
5,0.01,202.8,tenure_days
6,0.105,74.0,tenure_days
7,0.795,150.0,tenure_days
8,0.82,58.85,tenure_days
9,0.72,107.5,tenure_days
10,0.04,135.1,recency_days
11,0.085,72.6,tenure_days
12,0.02,128.2,tenure_days
13,0.705,281.8,total_amount
14,0.805,60.15,tenure_days
15,0.26,60.8,tenure_days
16,0.09,64.3,tenure_days
17,0.085,116.3,tenure_days
18,0.8,237.2,tenure_days
19,0.74,76.25,tenure_days
20,0.205,327.0,tenure_days
21,0.105,145.7,tenure_days
22,0.045,137.8,tenure_days
23,0.605,146.5,tenure_days
24,0.045,331.2,tenure_days
25,0.085,95.2,tenure_days
26,0.28,52.0,tenure_days
27,0.785,48.05,tenure_days
28,0.135,325.4,total_amount
29,0.775,158.7,tenure_days
30,0.065,67.7,tenure_days
31,0.145,90.0,tenure_days
32,0.17,244.0,tenure_days
33,0.775,60.15,total_amount
34,0.07,163.7,tenure_days
35,0.36,146.7,tenure_days
36,0.045,197.5,tenure_days
37,0.79,97.6,tenure_days
38,0.74,135.1,tenure_days
39,0.71,154.9,tenure_days
40,0.01,128.6,tenure_days
41,0.39,50.4,tenure_days
42,0.08,139.8,tenure_days
43,0.785,53.8,tenure_days
44,0.77,66.95,tenure_days
45,0.155,73.1,tenure_days
46,0.075,60.65,tenure_days
47,0.2,101.0,recency_days
48,0.1,74.6,total_amount
49,0.015,285.0,total_amount
50,0.07,77.75,tenure_days
51,0.16,143.1,recency_days
52,0.11,125.5,tenure_days
53,0.16,147.0,recency_days
54,0.125,73.6,tenure_days
55,0.36,163.7,tenure_days
56,0.45,192.0,total_amount
57,0.05,84.25,tenure_days
58,0.035,150.3,tenure_days
59,0.02,157.2,tenure_days
60,0.01,74.9,tenure_days
61,0.09,213.4,tenure_days
62,0.09,234.0,tenure_days
63,0.165,165.4,tenure_days
64,0.1,63.7,tenure_days
65,0.7,161.3,tenure_days
66,0.825,89.9,tenure_days
67,0.005,72.2,tenure_days
68,0.77,258.8,tenure_days
69,0.155,71.9,tenure_days
70,0.26,69.05,tenure_days
71,0.935,119.0,tenure_days
72,0.685,153.2,tenure_days
73,0.105,145.3,tenure_days
74,0.205,67.85,recency_days
75,0.125,164.3,tenure_days
76,0.23,77.7,tenure_days
77,0.18,325.2,total_amount
78,0.1,318.2,total_amount
79,0.225,180.7,tenure_days
80,0.14,65.4,tenure_days
81,0.12,60.55,tenure_days
82,0.02,83.5,recency_days
83,0.115,54.6,recency_days
84,0.03,64.5,tenure_days
85,0.16,131.6,tenure_days
86,0.015,55.15,tenure_days
87,0.425,163.4,tenure_days
88,0.05,64.7,tenure_days
89,0.015,77.5,recency_days
90,0.1,366.8,total_amount
91,0.21,137.0,tenure_days
92,0.155,68.05,tenure_days
93,0.065,145.0,tenure_days
94,0.135,111.2,tenure_days
95,0.135,131.6,tenure_days
96,0.805,91.9,tenure_days
97,0.85,140.7,tenure_days
98,0.76,136.5,tenure_days
99,0.12,182.7,tenure_days
100,0.09,79.75,tenure_days
101,0.66,140.7,tenure_days
102,0.165,85.35,tenure_days
103,0.82,59.5,tenure_days
104,0.015,162.9,tenure_days
105,0.025,74.95,total_amount
106,0.175,96.1,tenure_days
107,0.72,173.8,tenure_days
108,0.02,289.0,total_amount
109,0.8,61.65,tenure_days
110,0.005,155.1,tenure_days
111,0.02,75.85,tenure_days
112,0.7,319.2,total_amount
113,0.69,67.0,tenure_days
114,0.18,51.6,tenure_days
115,0.09,91.5,tenure_days
116,0.16,110.5,tenure_days
117,0.04,91.05,tenure_days
118,0.13,127.6,recency_days
119,0.14,51.8,tenure_days
120,0.07,138.2,total_amount
121,0.76,244.8,total_amount
122,0.115,178.4,tenure_days
123,0.7,147.3,tenure_days
